Partner Data Point File	- compression			
Start of Test Mon 10 Sep 2018 15:31:06				
Time ( min )	Stress ( psi )	Position ( in )	Load ( lbf )	Zone
0.92667	1936.983	0.0422	24340.9	Speed 1
0.92833	1940.484	0.0422	24384.9	Speed 1
0.93	1943.97		0.0425	24428.7	Speed 1
0.93167	1947.463	0.0425	24472.6	Speed 1
0.93333	1950.972	0.0425	24516.7	Speed 1
0.935	1954.474	0.0425	24560.7	Speed 1
0.93667	1957.983	0.0425	24604.8	Speed 1
0.93833	1961.469	0.0425	24648.6	Speed 1
0.94	1964.97		0.0425	24692.6	Speed 1
0.94167	1968.472	0.0425	24736.6	Speed 1
0.94333	1971.949	0.0427	24780.3	Speed 1
0.945	1975.466	0.0427	24824.5	Speed 1
0.94667	1978.968	0.0427	24868.5	Speed 1
0.94833	1982.477	0.0427	24912.6	Speed 1
0.95	1985.971	0.0427	24956.5	Speed 1
0.95167	1989.464	0.0427	25000.4	Speed 1
0.95333	1992.957	0.0427	25044.3	Speed 1
0.955	1996.459	0.0427	25088.3	Speed 1
0.95667	1999.96		0.043	25132.3	Speed 1
0.95833	2003.454	0.043	25176.2	Speed 1
0.96	2006.963	0.043	25220.3	Speed 1
0.96167	2010.449	0.043	25264.1	Speed 1
0.96333	2013.942	0.043	25308	Speed 1
0.965	2017.459	0.043	25352.2	Speed 1
0.96667	2020.985	0.043	25396.5	Speed 1
0.96833	2024.462	0.0433	25440.2	Speed 1
0.97	2027.956	0.0433	25484.1	Speed 1
0.97167	2031.449	0.0433	25528	Speed 1
0.97333	2034.958	0.0433	25572.1	Speed 1
0.975	2038.46		0.0433	25616.1	Speed 1
0.97667	2041.985	0.0433	25660.4	Speed 1
0.97833	2045.478	0.0433	25704.3	Speed 1
0.98	2048.988	0.0433	25748.4	Speed 1
0.98167	2052.473	0.0433	25792.2	Speed 1
0.98333	2055.959	0.0435	25836	Speed 1
0.985	2059.452	0.0435	25879.9	Speed 1
0.98667	2062.97		0.0435	25924.1	Speed 1
0.98833	2066.463	0.0435	25968	Speed 1
0.99	2069.956	0.0435	26011.9	Speed 1
0.99167	2073.482	0.0435	26056.2	Speed 1
0.99333	2076.959	0.0435	26099.9	Speed 1
0.995	2080.461	0.0438	26143.9	Speed 1
0.99667	2083.954	0.0438	26187.8	Speed 1
0.99833	2087.479	0.0438	26232.1	Speed 1
1	2090.973	0.0438	26276	Speed 1
1.00167	2094.49		0.0438	26320.2	Speed 1
1.00333	2097.968	0.0438	26363.9	Speed 1
1.005	2101.469	0.0438	26407.9	Speed 1
1.00667	2104.978	0.0438	26452	Speed 1
1.00833	2108.48		0.044	26496	Speed 1
1.01	2111.965	0.044	26539.8	Speed 1
1.01167	2115.459	0.044	26583.7	Speed 1
1.01333	2118.96		0.044	26627.7	Speed 1
1.015	2122.47		0.044	26671.8	Speed 1
1.01667	2125.971	0.044	26715.8	Speed 1
1.01833	2129.464	0.044	26759.7	Speed 1
1.02	2132.974	0.044	26803.8	Speed 1
1.02167	2136.459	0.0443	26847.6	Speed 1
1.02333	2139.945	0.0443	26891.4	Speed 1
1.025	2143.446	0.0443	26935.4	Speed 1
1.02667	2146.948	0.0443	26979.4	Speed 1
1.02833	2150.441	0.0443	27023.3	Speed 1
1.03	2153.942	0.0443	27067.3	Speed 1
1.03167	2157.436	0.0443	27111.2	Speed 1
1.03333	2160.921	0.0443	27155	Speed 1
1.035	2164.391	0.0445	27198.6	Speed 1
1.03667	2167.86		0.0445	27242.2	Speed 1
1.03833	2171.346	0.0445	27286	Speed 1
1.04	2174.847	0.0445	27330	Speed 1
1.04167	2178.333	0.0445	27373.8	Speed 1
1.04333	2181.826	0.0445	27417.7	Speed 1
1.045	2185.312	0.0445	27461.5	Speed 1
1.04667	2188.773	0.0445	27505	Speed 1
1.04833	2192.243	0.0448	27548.6	Speed 1
1.05	2195.744	0.0448	27592.6	Speed 1
1.05167	2199.246	0.0448	27636.6	Speed 1
1.05333	2202.715	0.0448	27680.2	Speed 1
1.055	2206.217	0.0448	27724.2	Speed 1
1.05667	2209.718	0.0448	27768.2	Speed 1
1.05833	2213.22		0.0448	27812.2	Speed 1
1.06	2216.721	0.0448	27856.2	Speed 1
1.06167	2220.23		0.045	27900.3	Speed 1
1.06333	2223.724	0.045	27944.2	Speed 1
1.065	2227.233	0.045	27988.3	Speed 1
1.06667	2230.742	0.045	28032.4	Speed 1
1.06833	2234.22		0.045	28076.1	Speed 1
1.07	2237.745	0.045	28120.4	Speed 1
1.07167	2241.255	0.045	28164.5	Speed 1
1.07333	2244.804	0.0453	28209.1	Speed 1
1.075	2248.265	0.0453	28252.6	Speed 1
1.07667	2251.791	0.0453	28296.9	Speed 1
1.07833	2255.308	0.0453	28341.1	Speed 1
1.08	2258.801	0.0453	28385	Speed 1
1.08167	2262.319	0.0453	28429.2	Speed 1
1.08333	2265.852	0.0453	28473.6	Speed 1
1.085	2269.361	0.0453	28517.7	Speed 1
1.08667	2272.863	0.0453	28561.7	Speed 1
1.08833	2276.34		0.0455	28605.4	Speed 1
1.09	2279.842	0.0455	28649.4	Speed 1
1.09167	2283.399	0.0455	28694.1	Speed 1
1.09333	2286.908	0.0455	28738.2	Speed 1
1.095	2290.425	0.0455	28782.4	Speed 1
1.09667	2293.943	0.0455	28826.6	Speed 1
1.09833	2297.42		0.0455	28870.3	Speed 1
1.1	2300.922	0.0457	28914.3	Speed 1
1.10167	2304.415	0.0457	28958.2	Speed 1
1.10333	2307.932	0.0457	29002.4	Speed 1
1.105	2311.458	0.0457	29046.7	Speed 1
1.10667	2314.983	0.0457	29091	Speed 1
1.10833	2318.484	0.0457	29135	Speed 1
1.11	2321.97		0.0457	29178.8	Speed 1
1.11167	2325.463	0.0457	29222.7	Speed 1
1.11333	2328.996	0.0457	29267.1	Speed 1
1.115	2332.49		0.046	29311	Speed 1
1.11667	2335.983	0.046	29354.9	Speed 1
1.11833	2339.485	0.046	29398.9	Speed 1
1.12	2343.002	0.046	29443.1	Speed 1
1.12167	2346.488	0.046	29486.9	Speed 1
1.12333	2350.013	0.046	29531.2	Speed 1
1.125	2353.506	0.046	29575.1	Speed 1
1.12667	2357.016	0.0463	29619.2	Speed 1
1.12833	2360.509	0.0463	29663.1	Speed 1
1.13	2363.995	0.0463	29706.9	Speed 1
1.13167	2367.496	0.0463	29750.9	Speed 1
1.13333	2370.958	0.0463	29794.4	Speed 1
1.135	2374.443	0.0463	29838.2	Speed 1
1.13667	2377.952	0.0463	29882.3	Speed 1
1.13833	2381.478	0.0463	29926.6	Speed 1
1.14	2384.955	0.0463	29970.3	Speed 1
1.14167	2388.441	0.0465	30014.1	Speed 1
1.14333	2391.934	0.0465	30058	Speed 1
1.145	2395.459	0.0465	30102.3	Speed 1
1.14667	2398.977	0.0465	30146.5	Speed 1
1.14833	2402.494	0.0465	30190.7	Speed 1
1.15	2405.988	0.0465	30234.6	Speed 1
1.15167	2409.497	0.0465	30278.7	Speed 1
1.15333	2412.998	0.0468	30322.7	Speed 1
1.155	2416.468	0.0468	30366.3	Speed 1
1.15667	2419.993	0.0468	30410.6	Speed 1
1.15833	2423.495	0.0468	30454.6	Speed 1
1.16	2426.988	0.0468	30498.5	Speed 1
1.16167	2430.458	0.0468	30542.1	Speed 1
1.16333	2433.935	0.0468	30585.8	Speed 1
1.165	2437.436	0.0468	30629.8	Speed 1
1.16667	2440.938	0.0468	30673.8	Speed 1
1.16833	2444.431	0.047	30717.7	Speed 1
1.17	2447.988	0.047	30762.4	Speed 1
1.17167	2451.506	0.047	30806.6	Speed 1
1.17333	2455.015	0.047	30850.7	Speed 1
1.175	2458.524	0.047	30894.8	Speed 1
1.17667	2462.018	0.047	30938.7	Speed 1
1.17833	2465.503	0.047	30982.5	Speed 1
1.18	2468.997	0.0473	31026.4	Speed 1
1.18167	2472.49		0.0473	31070.3	Speed 1
1.18333	2476.016	0.0473	31114.6	Speed 1
1.185	2479.525	0.0473	31158.7	Speed 1
1.18667	2483.01		0.0473	31202.5	Speed 1
1.18833	2486.536	0.0473	31246.8	Speed 1
1.19	2490.053	0.0473	31291	Speed 1
1.19167	2493.538	0.0473	31334.8	Speed 1
1.19333	2497.072	0.0475	31379.2	Speed 1
1.195	2500.549	0.0475	31422.9	Speed 1
1.19667	2504.067	0.0475	31467.1	Speed 1
1.19833	2507.552	0.0475	31510.9	Speed 1
1.2	2511.077	0.0475	31555.2	Speed 1
1.20167	2514.579	0.0475	31599.2	Speed 1
1.20333	2518.088	0.0475	31643.3	Speed 1
1.205	2521.581	0.0475	31687.2	Speed 1
1.20667	2525.083	0.0477	31731.2	Speed 1
1.20833	2528.568	0.0477	31775	Speed 1
1.21	2532.086	0.0477	31819.2	Speed 1
1.21167	2535.611	0.0477	31863.5	Speed 1
1.21333	2539.12		0.0477	31907.6	Speed 1
1.215	2542.622	0.0477	31951.6	Speed 1
1.21667	2546.107	0.0477	31995.4	Speed 1
1.21833	2549.601	0.0477	32039.3	Speed 1
1.22	2553.086	0.048	32083.1	Speed 1
1.22167	2556.595	0.048	32127.2	Speed 1
1.22333	2560.089	0.048	32171.1	Speed 1
1.225	2563.606	0.048	32215.3	Speed 1
1.22667	2567.124	0.048	32259.5	Speed 1
1.22833	2570.633	0.048	32303.6	Speed 1
1.23	2574.118	0.048	32347.4	Speed 1
1.23167	2577.628	0.048	32391.5	Speed 1
1.23333	2581.113	0.0483	32435.3	Speed 1
1.235	2584.607	0.0483	32479.2	Speed 1
1.23667	2588.108	0.0483	32523.2	Speed 1
1.23833	2591.617	0.0483	32567.3	Speed 1
1.24	2595.119	0.0483	32611.3	Speed 1
1.24167	2598.628	0.0483	32655.4	Speed 1
1.24333	2602.161	0.0483	32699.8	Speed 1
1.245	2605.655	0.0483	32743.7	Speed 1
1.24667	2609.148	0.0485	32787.6	Speed 1
1.24833	2612.634	0.0485	32831.4	Speed 1
1.25	2616.119	0.0485	32875.2	Speed 1
1.25167	2619.637	0.0485	32919.4	Speed 1
1.25333	2623.138	0.0485	32963.4	Speed 1
1.255	2626.647	0.0485	33007.5	Speed 1
1.25667	2630.165	0.0485	33051.7	Speed 1
1.25833	2633.658	0.0485	33095.6	Speed 1
1.26	2637.144	0.0488	33139.4	Speed 1
1.26167	2640.621	0.0488	33183.1	Speed 1
1.26333	2644.138	0.0488	33227.3	Speed 1
1.265	2647.64		0.0488	33271.3	Speed 1
1.26667	2651.149	0.0488	33315.4	Speed 1
1.26833	2654.667	0.0488	33359.6	Speed 1
1.27	2658.168	0.0488	33403.6	Speed 1
1.27167	2661.653	0.0488	33447.4	Speed 1
1.27333	2665.147	0.049	33491.3	Speed 1
1.275	2668.601	0.049	33534.7	Speed 1
1.27667	2672.11		0.049	33578.8	Speed 1
1.27833	2675.611	0.049	33622.8	Speed 1
1.28	2679.129	0.049	33667	Speed 1
1.28167	2682.638	0.049	33711.1	Speed 1
1.28333	2686.123	0.049	33754.9	Speed 1
1.285	2689.625	0.049	33798.9	Speed 1
1.28667	2693.118	0.0493	33842.8	Speed 1
1.28833	2696.636	0.0493	33887	Speed 1
1.29	2700.129	0.0493	33930.9	Speed 1
1.29167	2703.646	0.0493	33975.1	Speed 1
1.29333	2707.132	0.0493	34018.9	Speed 1
1.295	2710.633	0.0493	34062.9	Speed 1
1.29667	2714.143	0.0493	34107	Speed 1
1.29833	2717.644	0.0493	34151	Speed 1
1.3	2721.153	0.0495	34195.1	Speed 1
1.30167	2724.639	0.0495	34238.9	Speed 1
1.30333	2728.14		0.0495	34282.9	Speed 1
1.305	2731.634	0.0495	34326.8	Speed 1
1.30667	2735.151	0.0495	34371	Speed 1
1.30833	2738.66		0.0495	34415.1	Speed 1
1.31	2742.13		0.0495	34458.7	Speed 1
1.31167	2745.639	0.0498	34502.8	Speed 1
1.31333	2749.109	0.0498	34546.4	Speed 1
1.315	2752.594	0.0498	34590.2	Speed 1
1.31667	2756.112	0.0498	34634.4	Speed 1
1.31833	2759.613	0.0498	34678.4	Speed 1
1.32	2763.138	0.0498	34722.7	Speed 1
1.32167	2766.616	0.0498	34766.4	Speed 1
1.32333	2770.117	0.0498	34810.4	Speed 1
1.325	2773.627	0.05	34854.5	Speed 1
1.32667	2777.112	0.05	34898.3	Speed 1
1.32833	2780.621	0.05	34942.4	Speed 1
1.33	2784.123	0.05	34986.4	Speed 1
1.33167	2787.616	0.05	35030.3	Speed 1
1.33333	2791.118	0.05	35074.3	Speed 1
1.335	2794.611	0.05	35118.2	Speed 1
1.33667	2798.128	0.05	35162.4	Speed 1
1.33833	2801.614	0.0503	35206.2	Speed 1
1.34	2805.107	0.0503	35250.1	Speed 1
1.34167	2808.625	0.0503	35294.3	Speed 1
1.34333	2812.118	0.0503	35338.2	Speed 1
1.345	2815.635	0.0503	35382.4	Speed 1
1.34667	2819.121	0.0503	35426.2	Speed 1
1.34833	2822.622	0.0503	35470.2	Speed 1
1.35	2826.116	0.0503	35514.1	Speed 1
1.35167	2829.609	0.0505	35558	Speed 1
1.35333	2833.103	0.0505	35601.9	Speed 1
1.355	2836.612	0.0505	35646	Speed 1
1.35667	2840.121	0.0505	35690.1	Speed 1
1.35833	2843.623	0.0505	35734.1	Speed 1
1.36	2847.124	0.0505	35778.1	Speed 1
1.36167	2850.618	0.0505	35822	Speed 1
1.36333	2854.111	0.0505	35865.9	Speed 1
1.365	2857.597	0.0507	35909.7	Speed 1
1.36667	2861.098	0.0507	35953.7	Speed 1
1.36833	2864.583	0.0507	35997.5	Speed 1
1.37	2868.101	0.0507	36041.7	Speed 1
1.37167	2871.594	0.0507	36085.6	Speed 1
1.37333	2875.119	0.0507	36129.9	Speed 1
1.375	2878.645	0.0507	36174.2	Speed 1
1.37667	2882.138	0.0507	36218.1	Speed 1
1.37833	2885.608	0.051	36261.7	Speed 1
1.38	2889.125	0.051	36305.9	Speed 1
1.38167	2892.634	0.051	36350	Speed 1
1.38333	2896.12		0.051	36393.8	Speed 1
1.385	2899.621	0.051	36437.8	Speed 1
1.38667	2903.115	0.051	36481.7	Speed 1
1.38833	2906.608	0.051	36525.6	Speed 1
1.39	2910.102	0.0512	36569.5	Speed 1
1.39167	2913.595	0.0512	36613.4	Speed 1
1.39333	2917.112	0.0512	36657.6	Speed 1
1.395	2920.614	0.0512	36701.6	Speed 1
1.39667	2924.131	0.0512	36745.8	Speed 1
1.39833	2927.617	0.0512	36789.6	Speed 1
1.4	2931.07		0.0512	36833	Speed 1
1.40167	2934.54		0.0512	36876.6	Speed 1
1.40333	2938.009	0.0515	36920.2	Speed 1
1.405	2941.503	0.0515	36964.1	Speed 1
1.40667	2945.012	0.0515	37008.2	Speed 1
1.40833	2948.522	0.0515	37052.3	Speed 1
1.41	2952.039	0.0515	37096.5	Speed 1
1.41167	2955.548	0.0515	37140.6	Speed 1
1.41333	2959.058	0.0515	37184.7	Speed 1
1.415	2962.567	0.0515	37228.8	Speed 1
1.41667	2966.076	0.0518	37272.9	Speed 1
1.41833	2969.554	0.0518	37316.6	Speed 1
1.42	2973.095	0.0518	37361.1	Speed 1
1.42167	2976.668	0.0518	37406	Speed 1
1.42333	2980.201	0.0518	37450.4	Speed 1
1.425	2983.727	0.0518	37494.7	Speed 1
1.42667	2987.252	0.0518	37539	Speed 1
1.42833	2990.745	0.0518	37582.9	Speed 1
1.43	2994.207	0.052	37626.4	Speed 1
1.43167	2997.7		0.052	37670.3	Speed 1
1.43333	3001.194	0.052	37714.2	Speed 1
1.435	3004.711	0.052	37758.4	Speed 1
1.43667	3008.197	0.052	37802.2	Speed 1
1.43833	3011.674	0.052	37845.9	Speed 1
1.44	3015.168	0.052	37889.8	Speed 1
1.44167	3018.677	0.0523	37933.9	Speed 1
1.44333	3022.131	0.0523	37977.3	Speed 1
1.445	3025.64		0.0523	38021.4	Speed 1
1.44667	3029.149	0.0523	38065.5	Speed 1
1.44833	3032.651	0.0523	38109.5	Speed 1
1.45	3036.16		0.0523	38153.6	Speed 1
1.45167	3039.685	0.0523	38197.9	Speed 1
1.45333	3043.187	0.0523	38241.9	Speed 1
1.455	3046.672	0.0525	38285.7	Speed 1
1.45667	3050.118	0.0525	38329	Speed 1
1.45833	3053.619	0.0525	38373	Speed 1
1.46	3057.105	0.0525	38416.8	Speed 1
1.46167	3060.598	0.0525	38460.7	Speed 1
1.46333	3064.108	0.0525	38504.8	Speed 1
1.465	3067.617	0.0525	38548.9	Speed 1
1.46667	3071.102	0.0525	38592.7	Speed 1
1.46833	3074.508	0.0527	38635.5	Speed 1
1.47	3077.97		0.0527	38679	Speed 1
1.47167	3081.44		0.0527	38722.6	Speed 1
1.47333	3084.933	0.0527	38766.5	Speed 1
1.475	3088.458	0.0527	38810.8	Speed 1
1.47667	3091.968	0.0527	38854.9	Speed 1
1.47833	3095.501	0.0527	38899.3	Speed 1
1.48	3099.002	0.053	38943.3	Speed 1
1.48167	3102.52		0.053	38987.5	Speed 1
1.48333	3106.037	0.053	39031.7	Speed 1
1.485	3109.554	0.053	39075.9	Speed 1
1.48667	3113.056	0.053	39119.9	Speed 1
1.48833	3116.589	0.053	39164.3	Speed 1
1.49	3120.098	0.053	39208.4	Speed 1
1.49167	3123.631	0.0533	39252.8	Speed 1
1.49333	3127.133	0.0533	39296.8	Speed 1
1.495	3130.642	0.0533	39340.9	Speed 1
1.49667	3134.144	0.0533	39384.9	Speed 1
1.49833	3137.653	0.0533	39429	Speed 1
1.5	3141.162	0.0533	39473.1	Speed 1
1.50167	3144.672	0.0533	39517.2	Speed 1
1.50333	3148.197	0.0533	39561.5	Speed 1
1.505	3151.698	0.0535	39605.5	Speed 1
1.50667	3155.184	0.0535	39649.3	Speed 1
1.50833	3158.677	0.0535	39693.2	Speed 1
1.51	3162.179	0.0535	39737.2	Speed 1
1.51167	3165.696	0.0535	39781.4	Speed 1
1.51333	3169.197	0.0535	39825.4	Speed 1
1.515	3172.707	0.0535	39869.5	Speed 1
1.51667	3176.224	0.0535	39913.7	Speed 1
1.51833	3179.71		0.0537	39957.5	Speed 1
1.52	3183.219	0.0537	40001.6	Speed 1
1.52167	3186.728	0.0537	40045.7	Speed 1
1.52333	3190.238	0.0537	40089.8	Speed 1
1.525	3193.731	0.0537	40133.7	Speed 1
1.52667	3197.248	0.0537	40177.9	Speed 1
1.52833	3200.75		0.0537	40221.9	Speed 1
1.53	3204.275	0.0537	40266.2	Speed 1
1.53167	3207.745	0.054	40309.8	Speed 1
1.53333	3211.246	0.054	40353.8	Speed 1
1.535	3214.747	0.054	40397.8	Speed 1
1.53667	3218.241	0.054	40441.7	Speed 1
1.53833	3221.75		0.054	40485.8	Speed 1
1.54	3225.275	0.054	40530.1	Speed 1
1.54167	3228.793	0.0543	40574.3	Speed 1
1.54333	3232.254	0.0543	40617.8	Speed 1
1.545	3235.74		0.0543	40661.6	Speed 1
1.54667	3239.241	0.0543	40705.6	Speed 1
1.54833	3242.735	0.0543	40749.5	Speed 1
1.55	3246.22		0.0543	40793.3	Speed 1
1.55167	3249.722	0.0543	40837.3	Speed 1
1.55333	3253.223	0.0543	40881.3	Speed 1
1.555	3256.724	0.0545	40925.3	Speed 1
1.55667	3260.234	0.0545	40969.4	Speed 1
1.55833	3263.711	0.0545	41013.1	Speed 1
1.56	3267.221	0.0545	41057.2	Speed 1
1.56167	3270.73		0.0545	41101.3	Speed 1
1.56333	3274.231	0.0545	41145.3	Speed 1
1.565	3277.765	0.0545	41189.7	Speed 1
1.56667	3281.266	0.0548	41233.7	Speed 1
1.56833	3284.752	0.0548	41277.5	Speed 1
1.57	3288.261	0.0548	41321.6	Speed 1
1.57167	3291.754	0.0548	41365.5	Speed 1
1.57333	3295.248	0.0548	41409.4	Speed 1
1.575	3298.765	0.0548	41453.6	Speed 1
1.57667	3302.274	0.0548	41497.7	Speed 1
1.57833	3305.776	0.055	41541.7	Speed 1
1.58	3309.261	0.055	41585.5	Speed 1
1.58167	3312.771	0.055	41629.6	Speed 1
1.58333	3316.28		0.055	41673.7	Speed 1
1.585	3319.797	0.055	41717.9	Speed 1
1.58667	3323.299	0.055	41761.9	Speed 1
1.58833	3326.792	0.055	41805.8	Speed 1
1.59	3330.294	0.0553	41849.8	Speed 1
1.59167	3333.779	0.0553	41893.6	Speed 1
1.59333	3337.296	0.0553	41937.8	Speed 1
1.595	3340.806	0.0553	41981.9	Speed 1
1.59667	3344.323	0.0553	42026.1	Speed 1
1.59833	3347.824	0.0553	42070.1	Speed 1
1.6	3351.326	0.0553	42114.1	Speed 1
1.60167	3354.819	0.0553	42158	Speed 1
1.60333	3358.321	0.0555	42202	Speed 1
1.605	3361.814	0.0555	42245.9	Speed 1
1.60667	3365.331	0.0555	42290.1	Speed 1
1.60833	3368.833	0.0555	42334.1	Speed 1
1.61	3372.318	0.0555	42377.9	Speed 1
1.61167	3375.812	0.0555	42421.8	Speed 1
1.61333	3379.305	0.0555	42465.7	Speed 1
1.615	3382.807	0.0558	42509.7	Speed 1
1.61667	3386.308	0.0558	42553.7	Speed 1
1.61833	3389.825	0.0558	42597.9	Speed 1
1.62	3393.327	0.0558	42641.9	Speed 1
1.62167	3396.852	0.0558	42686.2	Speed 1
1.62333	3400.345	0.0558	42730.1	Speed 1
1.625	3403.871	0.0558	42774.4	Speed 1
1.62667	3407.348	0.056	42818.1	Speed 1
1.62833	3410.842	0.056	42862	Speed 1
1.63	3414.351	0.056	42906.1	Speed 1
1.63167	3417.852	0.056	42950.1	Speed 1
1.63333	3421.354	0.056	42994.1	Speed 1
1.635	3424.855	0.056	43038.1	Speed 1
1.63667	3428.333	0.0562	43081.8	Speed 1
1.63833	3431.786	0.0562	43125.2	Speed 1
1.64	3435.248	0.0562	43168.7	Speed 1
1.64167	3438.726	0.0562	43212.4	Speed 1
1.64333	3442.195	0.0562	43256	Speed 1
1.645	3445.697	0.0562	43300	Speed 1
1.64667	3449.222	0.0562	43344.3	Speed 1
1.64833	3452.739	0.0562	43388.5	Speed 1
1.65	3456.249	0.0565	43432.6	Speed 1
1.65167	3459.734	0.0565	43476.4	Speed 1
1.65333	3463.243	0.0565	43520.5	Speed 1
1.655	3466.777	0.0565	43564.9	Speed 1
1.65667	3470.294	0.0565	43609.1	Speed 1
1.65833	3473.827	0.0565	43653.5	Speed 1
1.66	3477.329	0.0568	43697.5	Speed 1
1.66167	3480.806	0.0568	43741.2	Speed 1
1.66333	3484.323	0.0568	43785.4	Speed 1
1.665	3487.841	0.0568	43829.6	Speed 1
1.66667	3491.35		0.0568	43873.7	Speed 1
1.66833	3494.867	0.0568	43917.9	Speed 1
1.67	3498.361	0.0568	43961.8	Speed 1
1.67167	3501.846	0.057	44005.6	Speed 1
1.67333	3505.316	0.057	44049.2	Speed 1
1.675	3508.801	0.057	44093	Speed 1
1.67667	3512.303	0.057	44137	Speed 1
1.67833	3515.812	0.057	44181.1	Speed 1
1.68	3519.321	0.057	44225.2	Speed 1
1.68167	3522.799	0.0573	44268.9	Speed 1
1.68333	3526.285	0.0573	44312.7	Speed 1
1.685	3529.778	0.0573	44356.6	Speed 1
1.68667	3533.279	0.0573	44400.6	Speed 1
1.68833	3536.773	0.0573	44444.5	Speed 1
1.69	3540.274	0.0573	44488.5	Speed 1
1.69167	3543.768	0.0573	44532.4	Speed 1
1.69333	3547.253	0.0575	44576.2	Speed 1
1.695	3550.731	0.0575	44619.9	Speed 1
1.69667	3554.232	0.0575	44663.9	Speed 1
1.69833	3557.718	0.0575	44707.7	Speed 1
1.7	3561.203	0.0575	44751.5	Speed 1
1.70167	3564.736	0.0575	44795.9	Speed 1
1.70333	3568.238	0.0575	44839.9	Speed 1
1.705	3571.715	0.0578	44883.6	Speed 1
1.70667	3575.217	0.0578	44927.6	Speed 1
1.70833	3578.726	0.0578	44971.7	Speed 1
1.71	3582.259	0.0578	45016.1	Speed 1
1.71167	3585.776	0.0578	45060.3	Speed 1
1.71333	3589.294	0.0578	45104.5	Speed 1
1.715	3592.787	0.058	45148.4	Speed 1
1.71667	3596.273	0.058	45192.2	Speed 1
1.71833	3599.782	0.058	45236.3	Speed 1
1.72	3603.291	0.058	45280.4	Speed 1
1.72167	3606.825	0.058	45324.8	Speed 1
1.72333	3610.334	0.058	45368.9	Speed 1
1.725	3613.843	0.0582	45413	Speed 1
1.72667	3617.321	0.0582	45456.7	Speed 1
1.72833	3620.822	0.0582	45500.7	Speed 1
1.73	3624.316	0.0582	45544.6	Speed 1
1.73167	3627.809	0.0582	45588.5	Speed 1
1.73333	3631.319	0.0582	45632.6	Speed 1
1.735	3634.812	0.0582	45676.5	Speed 1
1.73667	3638.305	0.0585	45720.4	Speed 1
1.73833	3641.799	0.0585	45764.3	Speed 1
1.74	3645.292	0.0585	45808.2	Speed 1
1.74167	3648.77		0.0585	45851.9	Speed 1
1.74333	3652.271	0.0585	45895.9	Speed 1
1.745	3655.749	0.0588	45939.6	Speed 1
1.74667	3659.21		0.0588	45983.1	Speed 1
1.74833	3662.712	0.0588	46027.1	Speed 1
1.75	3666.205	0.0588	46071	Speed 1
1.75167	3669.691	0.0588	46114.8	Speed 1
1.75333	3673.208	0.0588	46159	Speed 1
1.755	3676.717	0.059	46203.1	Speed 1
1.75667	3680.211	0.059	46247	Speed 1
1.75833	3683.696	0.059	46290.8	Speed 1
1.76	3687.198	0.059	46334.8	Speed 1
1.76167	3690.707	0.059	46378.9	Speed 1
1.76333	3694.208	0.059	46422.9	Speed 1
1.765	3697.686	0.0593	46466.6	Speed 1
1.76667	3701.164	0.0593	46510.3	Speed 1
1.76833	3704.673	0.0593	46554.4	Speed 1
1.77	3708.174	0.0593	46598.4	Speed 1
1.77167	3711.692	0.0593	46642.6	Speed 1
1.77333	3715.177	0.0593	46686.4	Speed 1
1.775	3718.679	0.0595	46730.4	Speed 1
1.77667	3722.172	0.0595	46774.3	Speed 1
1.77833	3725.689	0.0595	46818.5	Speed 1
1.78	3729.183	0.0595	46862.4	Speed 1
1.78167	3732.692	0.0595	46906.5	Speed 1
1.78333	3736.17		0.0598	46950.2	Speed 1
1.785	3739.647	0.0598	46993.9	Speed 1
1.78667	3743.117	0.0598	47037.5	Speed 1
1.78833	3746.634	0.0598	47081.7	Speed 1
1.79	3750.151	0.0598	47125.9	Speed 1
1.79167	3753.645	0.0598	47169.8	Speed 1
1.79333	3757.122	0.06	47213.5	Speed 1
1.795	3760.632	0.06	47257.6	Speed 1
1.79667	3764.117	0.06	47301.4	Speed 1
1.79833	3767.619	0.06	47345.4	Speed 1
1.8	3771.112	0.0603	47389.3	Speed 1
1.80167	3774.59		0.0603	47433	Speed 1
1.80333	3778.091	0.0603	47477	Speed 1
1.805	3781.576	0.0603	47520.8	Speed 1
1.80667	3785.07		0.0603	47564.7	Speed 1
1.80833	3788.571	0.0603	47608.7	Speed 1
1.81	3792.073	0.0605	47652.7	Speed 1
1.81167	3795.558	0.0605	47696.5	Speed 1
1.81333	3799.075	0.0605	47740.7	Speed 1
1.815	3802.577	0.0605	47784.7	Speed 1
1.81667	3806.078	0.0605	47828.7	Speed 1
1.81833	3809.572	0.0608	47872.6	Speed 1
1.82	3813.073	0.0608	47916.6	Speed 1
1.82167	3816.598	0.0608	47960.9	Speed 1
1.82333	3820.124	0.0608	48005.2	Speed 1
1.825	3823.649	0.0608	48049.5	Speed 1
1.82667	3827.134	0.061	48093.3	Speed 1
1.82833	3830.612	0.061	48137	Speed 1
1.83	3834.121	0.061	48181.1	Speed 1
1.83167	3837.623	0.061	48225.1	Speed 1
1.83333	3841.14		0.0612	48269.3	Speed 1
1.835	3844.618	0.0612	48313	Speed 1
1.83667	3848.127	0.0612	48357.1	Speed 1
1.83833	3851.62		0.0612	48401	Speed 1
1.84	3855.122	0.0612	48445	Speed 1
1.84167	3858.615	0.0615	48488.9	Speed 1
1.84333	3862.085	0.0615	48532.5	Speed 1
